model,speaker_id,dialect,text,dimension,construct,order_label,A_guise,B_guise,choice_dia,choice_a,confidence
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,approachability,Warmth,CMNxDIA,CMN,DIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,approachability,Warmth,DIAxCMN,DIA,CMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,competence,Ability,CMNxDIA,CMN,DIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,competence,Ability,DIAxCMN,DIA,CMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,educatedness,Ability,CMNxDIA,CMN,DIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,educatedness,Ability,DIAxCMN,DIA,CMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,friendliness,Warmth,CMNxDIA,CMN,DIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,friendliness,Warmth,DIAxCMN,DIA,CMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,likability,Warmth,CMNxDIA,CMN,DIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,likability,Warmth,DIAxCMN,DIA,CMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,professionalism,Ability,CMNxDIA,CMN,DIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,professionalism,Ability,DIAxCMN,DIA,CMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,trustworthiness,Trust,CMNxDIA,CMN,DIA,1.0,0.0,3.0
qwen2.5,BEI_004,BEI,儿童需要悉心抚养,trustworthiness,Trust,DIAxCMN,DIA,CMN,0.0,0.0,3.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,approachability,Warmth,CMNxDIA,CMN,DIA,1.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,approachability,Warmth,DIAxCMN,DIA,CMN,0.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,competence,Ability,CMNxDIA,CMN,DIA,1.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,competence,Ability,DIAxCMN,DIA,CMN,0.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,educatedness,Ability,CMNxDIA,CMN,DIA,1.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,educatedness,Ability,DIAxCMN,DIA,CMN,0.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,friendliness,Warmth,CMNxDIA,CMN,DIA,1.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,friendliness,Warmth,DIAxCMN,DIA,CMN,0.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,likability,Warmth,CMNxDIA,CMN,DIA,1.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,likability,Warmth,DIAxCMN,DIA,CMN,0.0,0.0,2.0
qwen2.5,BEI_004,BEI,农民在山坡上种了树,professionalism,Ability,CMNxDIA,CMN,DIA,1.0,0.0,2.0
